Gender,Age,Married,Number of Dependents,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,age_group,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,avg_monthly_spend,spend_change,high_bill
1,32,0,0,91942.0,32.78,-117.02,0,1.61,1,-1.72,1.0,1,16.0,1,1,1.0,0.0,1.0,0.0,0.0,1.0,1,1.22,2.2,0.0,0,-0.69,1.53,0,Young,1,0,0,0,0,1,0.84,0.38,1
1,39,0,0,93441.0,34.7,-120.03,0,0.96,0,0.0,0.47,1,19.0,1,1,1.0,1.0,0.0,0.0,0.0,1.0,0,-0.61,0.12,0.0,0,-0.88,-0.17,0,Adult,1,0,0,0,0,1,0.06,-0.67,0
1,58,1,2,93286.0,36.46,-119.09,9,1.57,1,0.14,1.0,1,12.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1,1.04,2.02,0.0,0,1.4,2.01,0,Adult,0,1,0,0,0,1,0.78,0.25,1
1,52,1,1,94956.0,38.06,-122.83,0,0.07,0,0.0,0.47,1,20.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0,-0.08,-0.13,0.0,0,-0.88,-0.36,0,Adult,0,1,0,0,1,0,-0.12,0.04,0
1,72,0,0,92078.0,33.12,-117.17,0,-1.28,1,-1.31,1.0,1,22.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.27,-0.97,0.0,0,-0.88,-1.03,0,Senior,1,0,0,0,1,0,3.49,-3.22,1
0,79,0,0,94015.0,37.68,-122.48,0,0.51,1,-1.09,0.0,1,17.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0,-0.04,0.23,0.0,0,-0.32,0.08,1,Senior,0,1,0,0,1,0,0.15,-0.18,0
0,67,0,0,95037.0,37.16,-121.65,0,-1.28,0,0.0,0.47,1,9.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1.25,-1.0,0.0,0,-0.88,-1.05,1,Senior,1,0,0,1,0,0,3.57,-4.82,0
1,79,1,0,93601.0,37.38,-119.74,0,0.72,1,0.45,1.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.25,-0.43,0.0,0,0.97,-0.05,0,Senior,1,0,0,0,1,0,-0.25,-1.0,0
1,26,1,0,96140.0,39.23,-120.09,1,-0.79,1,1.34,1.0,1,52.0,0,1,1.0,0.0,1.0,0.0,0.0,1.0,0,0.98,-0.47,0.0,0,-0.22,-0.44,1,Young,1,0,0,1,0,0,-2.24,3.22,1
1,30,1,2,93201.0,35.87,-119.5,1,-0.38,1,0.7,1.0,1,30.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.65,-0.19,0.0,0,0.06,-0.13,0,Young,1,0,0,1,0,0,-0.31,0.96,1
1,22,0,0,93530.0,36.56,-117.96,0,-1.2,1,-1.65,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.43,-0.98,0.0,0,-0.87,-1.04,0,Young,0,1,0,1,0,0,4.97,-6.39,0
1,34,1,0,95550.0,40.77,-123.8,0,-1.16,1,-0.96,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.41,-0.97,0.0,0,-0.83,-1.02,1,Young,0,1,0,1,0,0,6.21,-7.61,0
1,37,1,1,92060.0,33.31,-116.82,1,-1.28,0,0.0,0.47,1,19.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0,-1.08,-0.99,0.0,0,-0.88,-1.05,1,Adult,1,0,0,1,0,0,3.56,-4.64,0
1,37,1,3,93648.0,36.62,-119.52,10,0.92,1,0.71,0.0,1,57.0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1.3,1.49,0.0,20,1.39,1.59,0,Adult,1,0,0,0,1,0,0.78,0.52,1
0,42,1,3,95358.0,37.61,-121.11,3,0.88,1,-0.42,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.41,-0.53,0.0,0,0.37,-0.31,0,Adult,0,1,0,0,0,1,-0.28,-1.13,0
0,64,0,0,95442.0,38.37,-122.52,0,-0.26,1,0.91,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.43,-0.8,21.25,0,0.27,-0.56,0,Senior,1,0,0,0,1,0,-1.08,-0.35,0
1,47,1,3,95503.0,40.74,-124.11,5,1.49,1,0.96,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.43,-0.39,0.0,0,2.24,0.35,0,Adult,1,0,0,0,0,1,-0.16,-1.27,0
0,23,1,3,94038.0,37.52,-122.5,1,0.19,1,1.3,0.0,1,51.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.89,0.43,0.0,0,0.99,0.63,0,Young,0,1,0,0,1,0,0.36,0.53,1
1,48,1,0,90058.0,34.0,-118.22,5,0.68,1,1.79,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.41,-0.61,0.0,0,1.98,0.1,0,Adult,1,0,0,0,1,0,-0.36,-1.04,0
0,28,1,0,90063.0,34.04,-118.19,9,1.37,1,1.36,1.0,1,41.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,-2.0,2.5,0.0,0,2.53,2.72,0,Young,1,0,0,0,1,0,1.05,-3.06,0
1,28,0,0,92231.0,32.69,-115.43,0,1.41,1,-0.17,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.4,-0.41,30.53,0,0.94,-0.06,0,Young,1,0,0,0,1,0,-0.17,-1.23,0
0,33,1,1,96003.0,40.68,-122.29,4,-0.5,0,0.0,0.47,1,22.0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,1,-0.79,-0.64,0.0,0,-0.88,-0.77,0,Young,0,1,0,0,0,1,-1.3,0.51,0
1,31,0,3,95046.0,37.08,-121.61,0,0.43,1,0.39,1.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.25,-0.53,0.0,0,0.67,-0.23,0,Young,1,0,0,0,0,1,-0.37,-0.88,0
1,37,1,0,95209.0,38.04,-121.35,2,0.92,1,-1.51,1.0,1,9.0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.84,1.18,0.0,0,-0.55,0.77,0,Adult,1,0,0,1,0,0,0.62,0.23,1
1,60,1,0,90003.0,33.96,-118.27,4,1.08,1,-0.67,1.0,1,14.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,1.46,0.0,0,0.26,1.23,0,Adult,1,0,0,1,0,0,0.7,0.3,1
1,48,1,3,90255.0,33.98,-118.22,3,-0.83,1,-0.46,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.41,-0.91,0.0,0,-0.61,-0.9,0,Adult,1,0,0,0,0,1,-5.36,3.95,0
0,60,1,3,92398.0,35.01,-116.83,7,-0.22,1,-0.01,1.0,1,23.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.39,-0.16,0.0,0,-0.08,-0.15,0,Adult,1,0,0,1,0,0,-0.2,0.59,1
0,69,0,0,92129.0,32.96,-117.13,0,-1.24,1,1.38,0.0,1,27.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.47,-0.97,0.0,0,-0.78,-1.0,1,Senior,1,0,0,1,0,0,4.06,-4.53,0
1,20,0,0,94539.0,37.52,-121.9,0,-0.22,1,1.74,0.0,1,59.0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.47,-0.09,0.0,0,0.68,0.13,0,Young,0,1,0,0,1,0,-0.11,0.58,1
0,31,1,3,95405.0,38.44,-122.67,1,-0.3,1,-0.13,1.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.24,-0.73,44.42,0,-0.19,-0.65,0,Young,0,1,0,0,0,1,-1.04,-0.2,0
0,46,1,0,95126.0,37.33,-121.92,5,-0.3,1,-1.41,0.0,1,19.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1,-0.07,-0.3,44.9,0,-0.69,-0.46,0,Adult,1,0,0,0,1,0,-0.42,0.35,0
0,57,0,1,91042.0,34.3,-118.24,0,-0.14,0,0.0,0.47,1,21.0,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1,-0.61,-0.46,12.26,0,-0.88,-0.63,0,Adult,0,1,0,1,0,0,-0.53,-0.08,0
0,19,1,0,93291.0,36.39,-119.37,5,1.61,1,0.51,1.0,1,52.0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.69,1.78,0.0,0,1.87,1.96,0,Young,1,0,0,0,0,1,0.68,0.01,1
1,64,0,0,95240.0,38.12,-121.16,0,-0.75,1,-0.1,0.0,1,12.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,-0.4,-0.69,0.0,0,-0.49,-0.69,0,Senior,0,1,0,0,1,0,-2.73,2.33,0
1,38,0,0,95318.0,37.65,-119.82,0,0.11,1,0.82,0.0,1,2.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.15,0.55,0.0,0,0.62,0.62,0,Adult,1,0,0,0,1,0,0.5,0.65,1
0,54,0,0,94515.0,38.63,-122.59,0,-1.28,1,1.3,0.0,1,9.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,-0.63,-0.99,0.0,0,-0.83,-1.03,0,Adult,0,1,0,1,0,0,3.54,-4.17,0
0,50,0,0,95230.0,37.96,-120.86,0,-0.14,1,-1.73,0.0,1,17.0,0,0,0.0,1.0,1.0,1.0,1.0,0.0,1,0.99,0.14,0.0,20,-0.81,-0.12,0,Adult,1,0,0,1,0,0,0.17,0.82,1
0,25,0,0,96134.0,41.81,-121.49,0,1.29,1,-1.48,1.0,1,69.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0.57,1.45,0.0,40,-0.47,1.02,0,Young,1,0,0,0,1,0,0.63,-0.07,1
1,35,1,3,96107.0,38.43,-119.48,1,0.27,1,-0.08,1.0,1,53.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.17,0.66,0.0,0,0.24,0.59,0,Young,0,1,0,1,0,0,0.52,0.66,1
1,72,0,0,93023.0,34.58,-118.93,0,0.31,1,1.39,0.0,1,23.0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1,0.9,0.61,0.0,0,1.2,0.84,0,Senior,1,0,0,0,0,1,0.47,0.43,1
0,51,0,0,92241.0,33.83,-116.25,0,0.31,1,0.91,1.0,1,15.0,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1,1.32,0.78,0.0,0,0.9,0.88,1,Adult,0,1,0,1,0,0,0.59,0.73,1
1,78,0,1,91605.0,34.21,-118.4,0,-0.87,1,-1.02,0.0,1,29.0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,1.01,-0.51,0.0,120,-0.73,-0.58,1,Senior,1,0,0,1,0,0,-3.98,5.0,1
1,30,1,0,94937.0,38.1,-122.95,10,-1.08,1,1.28,1.0,1,85.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,-0.44,-0.87,0.0,0,-0.58,-0.86,0,Young,1,0,0,1,0,0,11.53,-11.97,0
0,58,0,0,95404.0,38.53,-122.71,0,-0.1,1,-1.69,1.0,1,15.0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.02,-0.17,0.0,0,-0.79,-0.37,0,Adult,0,0,1,1,0,0,-0.19,0.21,0
0,26,0,0,95131.0,37.39,-121.9,0,-0.22,1,-0.35,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.44,-0.77,0.0,0,-0.23,-0.68,0,Young,1,0,0,1,0,0,-0.99,-0.45,0
0,66,1,0,90744.0,33.78,-118.26,3,1.53,1,1.04,1.0,1,28.0,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1,1.33,2.22,6.11,0,2.38,2.45,0,Senior,1,0,0,0,1,0,0.88,0.45,1
1,20,1,0,95357.0,37.67,-120.88,10,1.0,1,-1.29,1.0,1,73.0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.48,1.75,0.0,0,-0.35,1.28,0,Young,1,0,0,0,1,0,0.88,0.6,1
0,61,1,0,92113.0,32.7,-117.12,10,1.04,1,-0.52,0.0,1,18.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0,-0.44,0.26,10.23,0,0.37,0.31,0,Senior,0,1,0,0,1,0,0.13,-0.57,0
0,24,0,0,90275.0,33.75,-118.37,0,-0.67,1,0.02,1.0,1,48.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1,0.25,-0.47,0.0,0,-0.4,-0.49,0,Young,1,0,0,1,0,0,-1.42,1.67,1
1,55,1,0,95452.0,38.42,-122.52,3,1.49,1,0.97,1.0,1,27.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.69,2.6,0.0,0,2.25,2.72,0,Adult,1,0,0,0,0,1,1.05,0.65,1
0,32,0,0,95255.0,38.42,-120.47,0,-1.28,1,0.47,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.43,-1.0,0.0,0,-0.85,-1.04,1,Young,1,0,0,1,0,0,3.58,-5.0,0
0,59,0,0,90062.0,34.0,-118.31,0,-1.28,1,1.13,1.0,1,25.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.17,-0.96,0.0,0,-0.84,-1.01,1,Adult,1,0,0,1,0,0,3.45,-2.28,1
0,71,1,1,92256.0,34.1,-116.59,9,-0.02,1,0.48,0.0,1,23.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.98,0.26,0.0,0,0.32,0.3,0,Senior,0,0,1,0,1,0,0.26,0.72,1
0,49,1,2,92266.0,33.32,-114.76,8,-0.67,1,1.73,1.0,1,12.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1,0.88,-0.37,0.0,0,0.04,-0.28,0,Adult,1,0,0,1,0,0,-1.11,1.99,1
0,61,1,0,93563.0,34.4,-117.73,1,0.68,1,1.05,1.0,1,10.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.67,0.79,0.0,0,1.4,1.03,1,Senior,1,0,0,0,1,0,0.47,0.2,1
1,40,1,0,93428.0,35.59,-121.03,2,1.57,0,0.0,0.47,1,29.0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,-0.18,0.82,0.0,0,-0.88,0.39,0,Adult,1,0,0,0,0,1,0.32,-0.5,0
1,39,0,0,96084.0,40.92,-122.06,0,0.02,1,1.8,1.0,1,12.0,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0,1.42,0.6,0.0,0,1.05,0.79,0,Adult,1,0,0,1,0,0,0.59,0.83,1
1,21,1,0,95548.0,41.57,-124.04,9,-0.91,1,1.79,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.42,-0.92,0.0,0,-0.3,-0.82,0,Young,1,0,0,1,0,0,-10.52,9.1,0
0,24,1,0,93650.0,36.84,-119.8,1,-0.46,1,0.8,1.0,1,59.0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1,1.54,0.02,0.0,120,0.01,0.06,1,Young,1,0,0,1,0,0,0.03,1.51,1
0,52,1,1,94508.0,38.54,-122.42,1,0.19,0,0.0,0.47,1,23.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0,-0.77,-0.37,0.0,0,-0.88,-0.55,1,Adult,1,0,0,1,0,0,-0.31,-0.46,0
1,71,0,0,95333.0,37.25,-120.25,0,-0.26,1,0.62,0.0,1,7.0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.71,-0.04,0.0,0,0.15,0.01,0,Senior,0,1,0,1,0,0,-0.05,0.77,1
0,45,0,0,95560.0,40.14,-123.85,0,0.72,0,0.0,0.47,1,7.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1,-0.92,-0.23,0.0,0,-0.88,-0.45,0,Adult,0,1,0,0,1,0,-0.14,-0.78,0
1,29,0,0,92122.0,32.86,-117.21,0,-1.03,1,0.24,1.0,1,26.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.33,-0.78,13.03,0,-0.65,-0.82,1,Young,1,0,0,1,0,0,22.63,-22.31,1
1,62,1,0,91755.0,34.05,-118.12,1,1.17,1,1.61,1.0,1,28.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.79,1.43,0.0,0,2.52,1.87,0,Senior,0,0,1,0,0,1,0.66,0.13,1
0,42,0,0,95305.0,37.82,-120.26,0,-0.71,1,1.52,0.0,1,12.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.22,-0.32,0.0,0,-0.07,-0.28,1,Adult,1,0,0,1,0,0,-1.1,2.32,1
1,51,0,2,91381.0,34.36,-118.62,0,-0.26,0,0.0,0.47,1,19.0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0,-0.58,-0.5,0.0,0,-0.88,-0.66,0,Adult,0,1,0,1,0,0,-0.68,0.09,0
0,39,1,0,95660.0,38.67,-121.39,9,1.61,1,0.58,0.0,1,23.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.97,0.0,0,1.94,2.13,0,Adult,1,0,0,1,0,0,0.75,0.25,1
0,64,1,0,91746.0,34.04,-117.99,1,0.47,1,0.15,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.4,-0.62,0.0,0,0.54,-0.34,0,Senior,1,0,0,0,1,0,-0.42,-0.98,0
0,55,0,0,95443.0,39.05,-122.74,0,1.37,1,1.73,1.0,1,8.0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0,0.83,1.63,36.02,40,2.92,2.15,0,Adult,0,1,0,1,0,0,0.69,0.14,1
1,40,0,0,91803.0,34.07,-118.15,0,-1.24,1,0.84,0.0,1,16.0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.73,-0.93,0.0,0,-0.8,-0.97,1,Adult,1,0,0,1,0,0,3.89,-3.16,1
1,76,0,0,90403.0,34.03,-118.49,0,0.47,1,-1.31,0.0,1,17.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.36,0.44,17.91,0,-0.48,0.19,0,Senior,1,0,0,0,1,0,0.3,0.06,1
1,57,0,0,95240.0,38.12,-121.16,0,-0.83,1,-0.82,1.0,1,6.0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1,0.84,-0.54,0.0,0,-0.68,-0.63,1,Adult,1,0,0,1,0,0,-3.2,4.04,1
0,71,1,0,90001.0,33.97,-118.25,1,1.49,1,-0.52,1.0,1,17.0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1,1.5,2.36,0.0,0,0.62,2.05,0,Senior,1,0,0,0,0,1,0.95,0.55,1
1,25,0,0,94533.0,38.29,-122.03,0,-1.28,1,-1.79,1.0,1,69.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.53,-0.97,0.0,0,-0.88,-1.03,1,Young,0,0,1,1,0,0,3.48,-2.95,1
1,24,0,0,95204.0,37.97,-121.32,0,-1.2,1,0.02,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.43,-0.98,0.0,0,-0.79,-1.01,1,Young,0,1,0,1,0,0,4.95,-6.38,0
1,19,1,0,92592.0,33.51,-117.03,10,-1.24,1,-1.54,0.0,1,53.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0.86,-0.92,0.0,0,-0.87,-0.99,0,Young,1,0,0,1,0,0,3.87,-3.01,1
1,77,0,0,92028.0,33.36,-117.3,0,-0.22,1,-1.66,1.0,1,4.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,1,0.74,0.05,0.0,0,-0.79,-0.19,0,Senior,1,0,0,0,0,1,0.07,0.67,1
0,57,0,0,93554.0,35.41,-117.77,0,-0.26,1,-0.9,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.41,-0.78,0.0,0,-0.48,-0.76,0,Adult,1,0,0,1,0,0,-1.06,-0.36,0
1,73,1,0,93422.0,35.45,-120.69,9,0.27,1,-0.39,1.0,1,21.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.22,0.74,0.0,0,0.04,0.59,0,Senior,1,0,0,1,0,0,0.58,0.64,1
0,41,0,0,95365.0,37.33,-120.31,0,-0.3,1,0.7,1.0,1,8.0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.04,0.0,0,0.15,0.07,1,Adult,1,0,0,1,0,0,0.05,0.95,1
1,43,0,0,93021.0,34.31,-118.86,0,-1.28,1,1.07,0.0,1,23.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.23,-0.98,0.0,0,-0.84,-1.02,1,Adult,0,0,1,1,0,0,3.49,-3.26,1
0,48,1,0,93463.0,34.62,-120.14,1,-0.42,1,0.13,0.0,1,21.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1,-0.31,-0.5,0.0,0,-0.18,-0.45,1,Adult,1,0,0,1,0,0,-0.86,0.55,0
1,56,0,0,94515.0,38.63,-122.59,0,1.61,1,1.7,1.0,1,5.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.66,2.74,0.0,0,3.23,3.12,0,Adult,1,0,0,0,0,1,1.05,0.61,1
1,51,0,0,90638.0,33.9,-118.01,0,-0.34,1,-1.1,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,1,-1.43,-0.8,0.0,0,-0.58,-0.81,0,Adult,1,0,0,0,0,1,-1.21,-0.22,0
1,34,1,0,93516.0,34.96,-117.73,8,-0.55,1,-1.3,1.0,1,16.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.75,-0.32,0.0,0,-0.71,-0.46,0,Young,1,0,0,1,0,0,-0.7,1.44,1
0,21,1,2,92078.0,33.12,-117.17,2,1.57,1,-1.2,1.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.25,-0.19,0.0,0,-0.11,-0.19,0,Young,0,1,0,0,0,1,-0.07,-1.17,0
0,78,1,0,92239.0,33.89,-115.26,7,0.02,1,-0.02,1.0,1,20.0,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.5,0.62,0.0,0,0.1,0.52,0,Senior,1,0,0,0,1,0,0.61,0.89,1
1,60,0,0,95313.0,37.44,-121.05,0,-1.2,1,-1.68,0.0,0,26.19,0,0,0.44,0.37,0.49,0.5,0.45,0.86,0,-1.42,-0.98,0.0,0,-0.88,-1.04,0,Adult,0,1,0,1,0,0,4.97,-6.39,0
0,54,1,1,95379.0,37.94,-120.19,7,0.6,1,-1.8,1.0,1,13.0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0,0.76,0.77,0.0,0,-0.82,0.36,0,Adult,1,0,0,1,0,0,0.48,0.28,1
0,42,1,3,92120.0,32.81,-117.06,2,1.21,1,-1.75,0.0,1,20.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.44,2.01,0.0,0,-0.76,1.36,0,Adult,0,1,0,0,0,1,0.91,0.53,1
0,22,0,0,95603.0,38.91,-121.08,0,1.57,1,-1.67,1.0,1,48.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.7,2.66,0.0,0,-0.64,1.91,0,Young,1,0,0,0,1,0,1.03,0.67,1
